CVE_CARRERA,CARRERA,TOTAL,HOMBRE,PCT_HOMBRE,MUJER,PCT_MUJER,MATRICULA,MATRICULA_H,MATRICULA_M,EGRESADOS_H,EGRESADOS_M,NUEVO_INGRESO_H,NUEVO_INGRESO_M,LUGARES,SOLICITUDES,PCT_TOTAL,RANK_EGRESADOS,X30.O.MAS,PCT_30MAS,MENOR.DE.30,PCT_30MENOS,ACTIVA,NO.ACTIVA,OCUPADO,TASA_OCUPACION,DESOCUPADO,TASA_DESOCUPACION,DISPONIBLE,NO.DISPONIBLE,FORMAL,INFORMAL,TASA_INFORMALIDAD,DESANIMADO,INGRESO.CERO,CUENTAPROPIA,%_CUENTAPROPIA,EMPLEADOR,%_EMPLEADOR,SIN.PAGO,%_SIN.PAGO,SUBORDINADO,%_SUBORDINADO,AGRICULTURA.Y.GANADERIA,%_AGRICULTURA,COMERCIO,%_COMERCIO,CONSTRUCCION,%_GOBIERNO,GOBIERNO.Y.ORGANISMOS.INTERNACIONALES,%_GOBIERNO,INDUSTRIA.EXTRACTIVA,%_EXTRACTIVA,INDUSTRIA.MANUFACTURERA,%_MANUFACTURA,RESTAURANTES.Y.ALOJAMIENTOS,%_RESTAURANTES,SERVICIOS.DIVERSOS,%_SERVDIVERSOS,SERVICIOS.PROFESIONALES..FINANCIEROS.Y.CORPORATIVOS,%_SERVPROFESIONALES,SERVICIOS.SOCIALES,%_SERVSOCIALES,TRANSPORTES.Y.COMUNICACIONES,%_TRANSPORTES,INGRESO,RANK_INGRESO,INGRESO_Q25,INGRESO_Q50,INGRESO_Q75,INGRESO_Q100,INGRESO_H,INGRESO_M,INGRESO_30MENOS,INGRESO_30MAS,INGRESO_FORMAL,INGRESO_INFORMAL,PROB_EMPL_CAL,COSTO_TOTAL_PRIVADA,TIEMPO_INVERSION_PRIV,CI_PRI,RSI_PRI,COSTO_TOTAL_PUBLICA,TIEMPO_INVERSION_PUB,CI_PUB,RSI_PUB,CARRERA.PROFESIONAL,POSGRADO,%_POSGRADO,INGRESO_LIC,ING_POSG,INCREMENTO_POSGRADO
111,Diseño curricular y pedagogía,353508,72876,0.206150922,280633,0.793851907,122199,24213,97986,3428,16810,8905,35964,73589,65017,0.022199494,13,278946,0.789079738,74563,0.210923091,264650,88858,256736,0.9701,7914,0.0299,9010,79849,197651,59085,0.2301,2278,106128,19381,0.075489998,3107,0.012101926,3536,0.013772903,230712,0.898635174,1744,0.00679297,17798,0.069324131,938,0.003653559,16130,0.062827184,515,0.002005952,7768,0.030256762,6793,0.026459086,8398,0.032710644,15419,0.060057803,174817,0.680921258,5755,0.022416023,17077,42,10024,14231.216,20764,88784,20934.408,15752,11791.088,19016.96,19124.36,10631.168,0.804,141836,8.30586885,Buena,7.5,53616,3.139735076,Buena,10.1,309622,43886,0.124144291,13624.74,30223.16,221.8255908
113,Orientación e intervención educativa,44273,10923,0.246719219,33350,0.753280781,31399,5410,25989,1095,5290,1648,7187,12589,11352,0.002780243,59,31105,0.702572674,13168,0.297427326,35921,8352,35294,0.9825,628,0.0175,NA,7980,24004,11290,0.3199,890,13348,3627,0.102765343,736,0.020853403,NA,NA,30206,0.855839519,NA,NA,4572,0.129540432,NA,NA,1927,0.054598515,NA,NA,1329,0.037655126,2589,0.073355245,984,0.027880093,1134,0.032130107,21808,0.617895393,320,0.009066697,16979,44,9355.256,14678,21480,47732.856,19356.344,16051.288,13244.568,19184.504,19913.392,10639.76,0.7107,129457,7.624435604,Insegura,7.7,46870,2.760432397,Muy Insegura,10.4,33600,10673,0.241072437,13575.06,26571.468,195.737389
115,Ciencias de la educación,530406,190010,0.358235012,340396,0.641764988,54137,11721,42416,2363,8695,4289,14246,26866,25806,0.033308283,9,468736,0.883730576,61670,0.116269424,408154,122252,402876,0.9871,5278,0.0129,8818,113434,340684,62192,0.1544,4217,163840,25418,0.063091373,7588,0.018834579,2860,0.007098958,367011,0.910977571,3854,0.009566219,20223,0.050196587,1415,0.003512247,27972,0.069430793,NA,NA,5923,0.014701794,9077,0.022530506,12930,0.032094242,7810,0.019385617,309082,0.767188912,2684,0.0066621,20506,26,12386.8,18222.2,24594.6,105717.4,22121.536,19419.352,14693.752,21385.488,21561.624,13933.36,0.8648,156516,7.632603539,Excelente,8.5,54979,2.681086342,Excelente,11.4,316119,214287,0.404005611,15760.98,27156.591,172.3026804
120,Planes multidisciplinarios o generales del campo de formación docente,241856,74131,0.306508832,167725,0.693491168,996,186,810,38,182,36,189,740,334,0.015188003,20,237792,0.983196613,4063,0.016799252,75674,166181,75265,NA,NA,NA,5855,160326,56616,18649,0.2478,2256,33452,10788,0.143333555,3368,0.044748555,1726,0.022932306,59383,0.788985584,2778,0.036909586,8462,0.112429416,526,0.00698864,5408,0.071852787,NA,NA,2464,0.03273766,1365,0.01813592,3007,0.039952169,1899,0.025230851,48279,0.641453531,770,0.010230519,17380,39,11506.12,16253.2,21766.4,67447.2,17457.512,17361.568,13142.896,17814.08,19687.136,10542.384,NA,36291,2.088067652,NA,11.2,27857,1.602802364,NA,12.1,215484,26371,0.109035955,15169.788,19484.432,128.4423487
121,Formación docente en educación básica nivel preescolar,238752,5907,0.024741154,232846,0.975263034,32739,1126,31613,193,7109,328,8788,12530,24315,0.014993079,21,204018,0.854518496,34734,0.145481504,176624,62129,173852,0.9843,2771,0.0157,4007,58122,144286,29567,0.1701,1704,56193,8944,0.051446058,3272,0.018820606,2060,0.011849159,159576,0.917884177,NA,NA,10456,0.06014311,220,0.001265444,7022,0.040390677,133,0.000765019,4160,0.023928399,5871,0.033770103,3552,0.020431171,2662,0.015311874,137218,0.789280537,1685,0.009692152,15815,45,11115.184,14642.2,18222.2,79476,21303.864,15777.776,14246.968,16152.96,17023.616,10596.8,0.8574,259428,16.40391203,Buena,5.3,41319,2.6126449,Excelente,10.2,235684,3068,0.012850154,13627.224,21695.443,159.206622
121,TSU. Formación docente en educación básica nivel preescolar,68760,NA,NA,68668,0.998662013,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021512172,10,59386,0.863670739,9374,0.136329261,36262,32498,35001,0.9652,1261,0.0348,5239,27259,14386,20615,0.589,1663,12768,7723,0.220650839,545,0.015570984,546,0.015599554,26186,0.748150053,NA,NA,5479,0.156538385,205,0.005856976,3351,0.095740122,NA,NA,2892,0.082626211,1341,0.038313191,9823,0.280649124,2000,0.057141225,9708,0.277363504,NA,NA,12701.84,12,8703.696,11617.816,16210.24,70812.4,NA,12686.088,10337.608,13175.832,13344.808,11788.224,0.6577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,Formación docente en educación básica nivel primaria,542710,175609,0.32357797,367100,0.676420188,59225,18120,41105,3112,8177,5106,10987,21212,42136,0.034080946,6,486964,0.897282158,55745,0.102715999,351157,191552,349080,0.9941,2077,0.0059,8427,183125,302632,46448,0.1331,4327,115125,18396,0.052698522,5860,0.016786983,5364,0.015366105,319460,0.91514839,5672,0.016248424,15490,0.044373783,1286,0.003683969,16407,0.047000688,NA,NA,4259,0.012200642,5309,0.015208548,4849,0.013890799,3606,0.01033001,288908,0.827626905,2182,0.006250716,17384,38,13174.4,16826,20048,76612,18153.464,16874.688,14292.792,17927.208,18349.648,10443.576,0.9026,176209,10.13599486,Excelente,7.1,41934,2.412151528,Excelente,10.9,535788,6922,0.01275451,14966.1,31719.567,211.9427707
123,Formación docente en educación básica nivel secundaria,210305,69578,0.330843299,140727,0.669156701,19363,6999,12364,1062,2265,2321,3800,8073,11426,0.013206673,23,191648,0.911285989,18657,0.088714011,143714,66591,141347,0.9835,2367,0.0165,4912,61679,120655,20692,0.1464,2394,51192,9146,0.064706007,2523,0.017849689,1127,0.007973286,128551,0.909471018,2534,0.017927512,7606,0.053810834,1004,0.007103087,4545,0.03215491,NA,NA,4630,0.032756266,949,0.006713973,1850,0.013088357,1020,0.007216283,114616,0.810883853,1662,0.011758297,19830,28,13901.856,18580.2,23628,73032,19072.808,20245.616,16218.832,20202.656,20828.44,12235.008,0.879,194556,9.811028921,Excelente,7.8,36743,1.852868252,Excelente,12.2,193817,16488,0.078400418,16776.936,27404.08,163.3437715
126,Formación docente en la enseñanza de asignaturas específicas,160237,110418,0.689091783,49818,0.310901976,52744,24970,27774,4336,4869,7119,6700,24370,28629,0.010062517,28,130974,0.817376761,29264,0.18262948,129174,31064,127556,0.9875,1618,0.0125,3687,27377,95392,32164,0.2522,1527,49198,12652,0.099187808,4100,0.032142745,1024,0.008027847,109779,0.860633761,2126,0.016667189,9820,0.076985794,858,0.006726457,7804,0.061180971,655,0.005135,4213,0.033028631,2288,0.01793722,8808,0.069052024,3634,0.028489448,79953,0.626807049,6512,0.051052087,17344,41,10825.92,14985.88,20781.184,126220.776,17693.792,16337.688,13970.592,18479.96,19297.632,12743.368,0.7796,93508,5.391255175,Buena,8.7,42890,2.472846542,Insegura,10.9,151838,8400,0.052422349,14738.814,30967.266,210.1069055
127,Formación docente en otros servicios educativos,69560,7111,0.102228292,62449,0.897771708,7387,656,6731,120,1480,241,2410,4368,3487,0.004368209,49,55601,0.799324324,13959,0.200675676,54789,14771,53356,0.9738,1434,0.0262,1755,13016,45109,8247,0.1546,1187,20035,3704,0.069420496,306,0.005735063,1582,0.029649899,47764,0.895194542,262,0.004910413,2732,0.051203239,NA,NA,3146,0.058962441,NA,NA,1106,0.02072869,358,0.006709648,1222,0.022902766,933,0.017486318,42585,0.798129545,NA,NA,17943,33,12293.72,17005,20477.6,55114.816,20887.152,17474.696,13197.312,18900.968,19100.016,10993.464,0.8438,172129,9.593121759,Excelente,7.4,33870,1.887648415,Excelente,11.8,58703,10857,0.156081081,14506.56,27935.116,192.5688516
127,TSU. Formación docente en otros servicios educativos,21117,60,0.002841313,21057,0.997158687,108,3,105,0,13,2,46,47,49,0.006606639,16,17844,0.845006393,3273,0.154993607,13727,7390,13727,NA,NA,NA,729,6661,6491,7236,0.5271,780,5932,2518,0.183434108,160,0.011655861,294,0.021417644,10755,0.783492387,NA,NA,3643,0.265389379,132,0.009616085,842,0.061338967,NA,NA,1631,0.11881693,435,0.031689371,795,0.057915058,1543,0.112406207,4314,0.314271144,189,0.013768485,11882.736,13,8004.88,10024,14778.24,29556.48,NA,11882.736,11291.32,11938.584,14095.176,9564.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
